Name,Address,Rating,Types,Place ID,Latitude,Longitude,Search Grid
CPG BPM SERVICES PRIVATE LIMITED(formerly ISSL CPG BPO Private Limited),"P.O, Survey No.51/1,Ward No. 192, Via Chikka Begur, Gate, Lakshmi Layout Main Road, Bommanahalli, Bengaluru",3.7,point_of_interest; establishment,ChIJkaMxJbEUrjsRbdXaHwX9LeM,12.88662,77.6371579,Grid 10
Monsoon Modular Systems,"industrial zone, Chikka Begur, Singasandra, Bengaluru",4.4,furniture_store; home_goods_store; store; point_of_interest; establishment,ChIJn_ZKi1NrrjsRdDnzogeT1D8,12.8826092,77.6366118,Grid 10
"Networthsystems Pvt Ltd., Unit I","Industrial Layout, Begur, Bengaluru",4.4,point_of_interest; establishment,ChIJvU_UDrMUrjsRogHWcjx7eIM,12.8824508,77.6379352,Grid 10
Eurovigil Security Solutions,"B-BLOCK, 474/1- Venkata Sai Nilaya 1st main, 2nd Cross Road, AECS Layout, Singasandra, Bengaluru",4.3,point_of_interest; establishment,ChIJRfkEeUIUrjsRuOCYVZMb-Sg,12.8814224,77.6378805,Grid 10
DESARA DESIGN PVT LTD,"No.919, Bharani industrial Estate, chickabegur road, 7th Mile Hosur Main Road, Bengaluru",4.8,general_contractor; point_of_interest; establishment,ChIJVVVVhegUrjsRwAZ-qveJ3Rk,12.8865639,77.6391034,Grid 10
Plasma HealthChek Diagnostics Pvt Ltd,"First Floor, 46/176, 2nd Main Road, AECS B Block, Wellington Paradise, Singasandra, Bengaluru",2.8,point_of_interest; health; establishment,ChIJUzFIaLIUrjsRHHNyXZOAUm0,12.8826454,77.6408472,Grid 10
Quatro Railtech Solutions Private Limited,"VJMR+M9P, AECS Layout Main Road, AECS Layout - A Block, AECS Layout, Singasandra, Bengaluru",3.8,point_of_interest; establishment,ChIJfy_SgmcUrjsRGgiIZFyWfKs,12.8842223,77.640949,Grid 10
Lake Point Tower,"LAKE POINT TOWER, Lake Point Tower Avenue, Begur, Bengaluru",4.4,point_of_interest; establishment,ChIJxX_Bv0trrjsRDbdbrOobIEs,12.874692,77.6353252,Grid 10
PLASTIC FISCHER INDIA PVT. LTD. MATERIAL RECOVERY FACILITY,"283, Lake Point Tower Avenue, Block C, AECS Layout, Begur, Bengaluru",,storage; point_of_interest; establishment,ChIJBaHyBwBrrjsRWrAkbut4H_Y,12.8712963,77.6350315,Grid 10
MOBILE SERVICE CENTER,"VJCP+F2Q, 19th Cross 2nd Block, AECS C Block, Begur, Bengaluru",,point_of_interest; establishment,ChIJy4G7PUlrrjsREJ8kL5gs8ws,12.8712172,77.6351105,Grid 10
ZAFEER SIDDIQUI TOWER,"VJCP+F59, 19th Cross 2nd Block, AECS C Block, Begur, Bengaluru",,point_of_interest; establishment,ChIJl85pH59rrjsRp6QnqO7-eYc,12.8711623,77.6354764,Grid 10
E-Land Apparel Ltd.,"AECS Layout - A Block, Hal Layout, Singasandra, Bengaluru",4,point_of_interest; establishment,ChIJn5N_PKwUrjsRPfSbgkjFTEs,12.883618,77.6459994,Grid 10
SI Global Pvt. Ltd.,"opposite Chikkabegur Gate, 93/1, 7th Mile Hosur Main Road, Post, Singasandra, Bengaluru",4.3,point_of_interest; establishment,ChIJhxFwda4UrjsRJYU_DrrU_tw,12.8851541,77.6434439,Grid 10
Microsharp Technologies,"713, 12th Main Road, AECS Layout - A Block, Singasandra, Bengaluru",4.4,point_of_interest; establishment,ChIJ89KZZLAUrjsRffW19ydPbDY,12.8816575,77.6508514,Grid 10
BESCOM office - S13 Sub division,"1084, 1st Main Road, AECS Layout - A Block, Singasandra, Bengaluru",3.6,point_of_interest; establishment,ChIJT9rxWVVrrjsRxHRQJ3SUATQ,12.8834894,77.6480343,Grid 10
Vethon Solar Pvt Ltd,"AECS Layout, Singasandra, Bengaluru",5,point_of_interest; establishment,ChIJfYCaZawUrjsRv8_y0dh1UFk,12.8828176,77.6469224,Grid 10
Ramya Reprographic Pvt. Ltd.,"behind Dakshin Honda Showroom, Survey #16/2B, AECS Layout Entrance, behind Dakshin Honda Showroom, Hosur Road, Kudlu, Singasandra, Bengaluru",4.5,point_of_interest; store; establishment,ChIJ7ynqP6wUrjsRK-GondUQLEE,12.8837919,77.6464544,Grid 10
Goodwill Fabrics Pvt. Ltd. - Unit 2,"9, 10, 11, near ASK Institute of Hotel Management & Culinary Arts, Singasandra, Bengaluru",4.3,point_of_interest; establishment,ChIJ75omJ6wUrjsR2_KPKU6Axwo,12.8844875,77.6457463,Grid 10
Gilgal AG International Worship Center,"Building No. 3 and 4, lake, behind Dakshin Honda Showroom, 168/13, Hosur Road, Singasandra, Bengaluru",4.9,church; place_of_worship; point_of_interest; establishment,ChIJef2naGIUrjsRsAVtBxCphII,12.8836906,77.6454113,Grid 10
GP Health Care And Home Services,"969,3rd cross, 60 Feet Road, Kudlu, AECS Layout - A Block, Bengaluru",3.8,spa; point_of_interest; health; establishment,ChIJbbvc7a4UrjsREG0Ik7a_C2A,12.8856025,77.6454147,Grid 10
Aishani Technology Pvt. Ltd,"near, House No: #198/1, 1st Floor Post Office, Singasandra, Bengaluru",5,point_of_interest; establishment,ChIJLWYyxKwUrjsRiaGGxTnXE3A,12.881109,77.6493138,Grid 10
MOIRA BUILDING SYSTEMS,"NO 91, 187/1, Kudlu Main Road, AECS Layout, Singasandra, Bengaluru",4.8,point_of_interest; establishment,ChIJ0Tgcca4UrjsR0w_1S5eJCds,12.885294,77.6441113,Grid 10
Mindcell Technologies,"#497, Shop No : 07, 1st Floor, Marappa Building, Balagaranahalli, Hosur Main Road, Bengaluru",5,point_of_interest; establishment,ChIJDb4atqwUrjsRNEReD0et-Z0,12.8796941,77.6464938,Grid 10
NOW & ZEN (Skanda Retail Pvt Ltd),"behind Keys hotel, # 6 & 7, Singasandra, behind Keys hotel, Hosur Road, Bengaluru",4.1,home_goods_store; store; point_of_interest; establishment,ChIJsRMuTVNrrjsRdXjMSE3vjHc,12.8793024,77.6470874,Grid 10
MatrixArray Info Solutions (INDIA) Pvt Ltd,"Ground Floor, Plot No:48/1/6, Hosur Road, Industrial Estate, Singasandra, Bengaluru",4.2,point_of_interest; establishment,ChIJ9Wk_pBQVrjsRMwk6qcQkKB8,12.873557,77.648938,Grid 10
Alena Clothing Pvt Ltd,"Aishwarya Crystal Layout, Begur, Bengaluru",4.5,point_of_interest; establishment,ChIJSUadvFZrrjsRwnYU7kPGors,12.8729676,77.6490159,Grid 10
BSc IT Books Center,"Woodstock(YOHO) Hostel, Off HOSUR ROAD, BAGUR, Manipal County Road, Singasandra, Bengaluru",,point_of_interest; establishment,ChIJYcj7-lNrrjsRm_VjRpJ4fPg,12.874244,77.647321,Grid 10
Pratham Motors Pvt Ltd,"No.49. Singasandra Village, Hosa Road Junction, Hosur Main Road, Bengaluru",4.7,car_dealer; store; point_of_interest; establishment,ChIJAZgtUFZrrjsRq6CDtR2WCg4,12.871599,77.651426,Grid 10
Associated Road Carriers Limited,"NO. 35/1, Hosur Road, Singasandra, Bengaluru",3.9,point_of_interest; establishment,ChIJ4RiYb1RrrjsRJ9Dr_Wov_s0,12.875777,77.6487637,Grid 10
Government Primary Health Center,"VMC2+VVR, Hosur Road, AECS Layout - A Block, Singasandra, Bengaluru",3.2,hospital; point_of_interest; health; establishment,ChIJDUFQQFZrrjsRH_PsFxOV3Yo,12.8722465,77.652137,Grid 10
United Access Floors Pvt.Ltd.,"Gala No.58, Sy. No. 35, 2, Hosur Road, Singasandra, Bengaluru",4,point_of_interest; establishment,ChIJuevVa1RrrjsR4dFXJg8KtDY,12.8758707,77.6492364,Grid 10
BioCOS Life Sciences Private Limited,"851/A, 3rd Floor, Saami Building, Hosur Road, B-Block, AECS Layout, Singasandra, Bengaluru",4.3,point_of_interest; establishment,ChIJISuQtpkUrjsR4ryUP8g6hxI,12.8837951,77.6416991,Grid 10
Saami Tradestar Logistic LTD,"VJMR+CJR, Service Road, Wellington Paradise, Singasandra, Bengaluru",4.1,point_of_interest; establishment,ChIJZYToDbIUrjsRXbpRUQB3iL0,12.8836015,77.6415155,Grid 10
Prolific HR Consultants India Limited,"Awfis, Dayananda Sagar University, Hosur Road, Kudlu Gate, Srinivasa Nagar, Hal Layout, Singasandra, Bengaluru",4.4,point_of_interest; establishment,ChIJk-jLMRAUrjsR8AKjop9-49M,12.8875969,77.6420424,Grid 10
ThiDiff Technologies,"Ground Floor, ThiDiff Tech Park, near Metro Station - Patalamma Temple, Singasandra, Bengaluru",3.1,point_of_interest; establishment,ChIJi2sLuboUrjsRE4YUtpKjs_0,12.8766318,77.6465473,Grid 10
KingTreat Concierge Services Pvt. Ltd.,"218, 215 & 3, 4th Cross, Hosur Main road Near Honda Showroom, Electronic City, Singasandra, Bengaluru",5,point_of_interest; establishment,ChIJD8UnBM0UrjsRfjSOA5scnq4,12.8790122,77.6503666,Grid 10
Ashwini Legal Solutions,"Royal Shelters, Stage 4, Bommanahalli, Bengaluru",,lawyer; accounting; real_estate_agency; finance; local_government_office; point_of_interest; establishment,ChIJJ3U1EdsUrjsR8_Xef4wWdRo,12.8929306,77.6174343,Grid 14
BrainMine Web Solutions,"109,Phase-1, Golden Park Appartments, Kodichikkanahalli Main Road, Kodichikknahalli, Bommanahalli, Bengaluru",4.8,point_of_interest; establishment,ChIJAQCczd0UrjsRQp4BdgM3ySE,12.8977193,77.6143594,Grid 14
Sancentre IT Solutions Private Limited,"# 108, Suraksha Elegance, Opp Rishi Motors, II Floor, K C Halli Main Road Vijaya Bank Layout, Kodichikkanahalli main road, Bengaluru",3.8,local_government_office; point_of_interest; establishment,ChIJaeOlcb0VrjsRYBVHKDH8uI8,12.897426,77.6133329,Grid 14
Sri Sadguru Indane Services,"IIMB Post, No 1, Kodichikkanahalli Main Road, Duo Enclave Layout, Bengaluru",3,point_of_interest; establishment,ChIJ5y_GHMMUrjsRXvCmD0zjGxg,12.897458,77.6130648,Grid 14
Barcode Labels Aldo Labels Solutions,"1/A, 11th Main, Begur Road, Maruthi Layout, Hongasandra, Bengaluru",5,point_of_interest; establishment,ChIJfx18ZMYUrjsRA-EY_edUkK4,12.8920144,77.623152,Grid 14
Accutech measurement systems,"#1/a, First Floor,Southern End, 11th Cross, Begur Road, Hongasandra, Bengaluru",4.2,point_of_interest; establishment,ChIJwyADScQUrjsRdZ73M_M0K6Y,12.8928458,77.6233063,Grid 14
You Against You Fitness Center,"gmr tower #81/1, 14th main road,, Begur Road, Hongasandra, Bengaluru",4.7,gym; point_of_interest; health; establishment,ChIJkfU0HcYUrjsRTlQzGQw5ETI,12.8897328,77.6256118,Grid 14
DTDC EXPRESS LTD,"9/a, Devarachikkanahalli Main Road, Maruthi Layout, Hongasandra, Bengaluru",3.6,point_of_interest; establishment,ChIJhTAVO8UUrjsR21C0q3Hx09g,12.8913567,77.6202267,Grid 14
Flow Oil Pumps Pvt. Ltd.,"2/80/118, KSR Layout, Devarachikkana Halli, Bengaluru",4.5,point_of_interest; establishment,ChIJCW4Y_NkUrjsR-FErMrNLH_0,12.8896291,77.6132108,Grid 14
Smart Services,"No. 163, Meghasagar Complex, Near Yellumandamma Temple, IIM Post, Bannergatta Main Road, Devarachikkana Halli, Addischetan Layout, BDA Layout BTM 4th Stage, Bengaluru",4.9,point_of_interest; establishment,ChIJJdib89kUrjsRz6s_HZTLSj8,12.8901742,77.6131629,Grid 14
Rahul Fab Systems,"560068, Bassappa Layout, Virat Nagar, Bommanahalli, Bengaluru",4.4,point_of_interest; establishment,ChIJSwdQrekUrjsRYfmHdDkcmb8,12.9028797,77.6221789,Grid 14
Jio Centre,"Mahalakshmi Complax, 302, Devarachikkanahalli Main Road, Someswar Layout, Bilekahalli, Bengaluru",3.6,electronics_store; store; point_of_interest; establishment,ChIJvWwV-sIUrjsR2ldqTwiB5HU,12.8985186,77.6216579,Grid 14
Muthoot FinCorp Gold Loan,"above Thyagaraja Cooperative Bank, No 93/1, 1st Floor Begur Main Road, Hongasandra, above Thyagaraja Cooperative Bank, Begur, Bengaluru",4.9,insurance_agency; finance; point_of_interest; establishment,ChIJmbciZ-sUrjsRvzGugXIs-K0,12.8936905,77.6260972,Grid 14
Speed Networks- Tata Tele Business Services Channel Partner,"105/3, Balaji Layout, Bommanahalli, Bengaluru",3.9,point_of_interest; establishment,ChIJCdka88MUrjsRd4NSw6ScAeE,12.895642,77.623672,Grid 14
TALENTZ GROUP SERVICES,"94/2, 6TH Main Road, 9TH CROSS, BALAJI LAYOUT BEGUR ROAD, BANGALORE, Bengaluru",5,point_of_interest; establishment,ChIJV_fbs8MUrjsRCvIg46836Co,12.8971632,77.6230906,Grid 14
AKR industries private limited,"33/2, Devarachikkanahalli Main Road, SR Naidu Layout, Seenappa Layout, Hongasandra, Bengaluru",4.1,point_of_interest; establishment,ChIJc_uKZMMUrjsRNoxONfjJZss,12.8954621,77.6212235,Grid 14
ASNR Technologies,"308, Aravind's Shambhavi, building, Devarachikkanahalli Main Road, Kaveri Nagar, Bengaluru",4.8,point_of_interest; establishment,ChIJfUQfesYUrjsRSgZoTEgRWyE,12.89728,77.621193,Grid 14
Shadow Technologies,"Shop No. 3. 126/123, 5th Main, Begur Road, Bengaluru",,electronics_store; point_of_interest; store; establishment,ChIJj9xyQEUUrjsRhy8aG62T2Ws,12.8970648,77.625044,Grid 14
ESSAE-TERAOKA LIMITED,"410, 3rd Cross Road, Vivekananda Nagar, Bommanahalli, Bengaluru",4,point_of_interest; establishment,ChIJR8SxE-oUrjsReAV1peKubTw,12.9018175,77.6261906,Grid 14
Manappuram Finance Limited,"Boomanahalli Building No. 125/1 Begur Road, Ist Cross, Dt, Nagappareddy Building, Bommanahalli, Bengaluru",2.2,finance; point_of_interest; establishment,ChIJN_w_husUrjsREgJ6qhEc-yM,12.9038343,77.6271502,Grid 14
HGS - Hinduja Global Solutions,"Park, #690, Gold Hill Square, Hosur Road, Bommanahalli, Bengaluru",3.8,point_of_interest; establishment,ChIJMzK-OvEUrjsR8v9wOvFuAKk,12.9019009,77.6328063,Grid 14
Dee Bee Office Concepts | Modular Furniture Manufacturer,"Branch & ATM, #336/10 Hosur Road near ICICI Bank, Hosur Road, Bommanahalli, Bengaluru",4.4,furniture_store; general_contractor; home_goods_store; store; point_of_interest; establishment,ChIJnz-KXesUrjsRzxfIwbshsh8,12.9034963,77.6293496,Grid 14
KSRTC Ticket Booking Centre,"93, Hosur Road, Madiwala, 1st Stage, BTM 1st Stage, Bengaluru",4.1,travel_agency; point_of_interest; establishment,ChIJk2gpH1UUrjsRGD9QW8ElRJc,12.9050468,77.6304916,Grid 14
SREE RAM CORPORATION,"near om Shakthi Temple, No.62/27, Begur Road, Bommanahalli, Bengaluru",4.8,point_of_interest; establishment,ChIJNyNheekUrjsRPHPBALwI100,12.9018116,77.627436,Grid 14
Mukunda Foods Private Limited,"545/15, survey 13, 15, Hosur Road, Bommanahalli, Bengaluru",4.4,point_of_interest; establishment,ChIJrXKFd8AUrjsRX_DDXcl-6OA,12.9039712,77.6313126,Grid 14
IDC Centre for Consultancy and Research,"AMR Tech Park C-wing, 23 & 24 2, 1st Floor, Hosur Road, Hongasandra, Bengaluru",4.1,point_of_interest; establishment,ChIJi39yGvIUrjsRbWm_KwfH65g,12.899392,77.6303622,Grid 14
42Gears Mobility Systems,"AMR Tech Park, 2B, 1st floor No. 23 & 24, Hosur Road, Hongasandra, Bengaluru",4,point_of_interest; establishment,ChIJCaGpUYAUrjsROL4WlEHlPgo,12.8993818,77.6302921,Grid 14
MultiFinz TAX Consultants Pvt Ltd,"near Sri Maheswaramma Temple, NO 37-1 Ground floor, 1st Cross, near Sri Maheswaramma Temple, Begur Road, Bommanahalli, Bengaluru",4.8,accounting; finance; point_of_interest; establishment,ChIJi0RIhsAUrjsRYiWNFS-SggQ,12.9041249,77.6280123,Grid 14
akasam consulting pvt ltd,"Hosur Road, Popular Colony, Mangammanapalya, Bengaluru",,finance; point_of_interest; establishment,ChIJEaUgOpUUrjsRu9E6SNDv7EY,12.9029367,77.6315264,Grid 14
Impress Apparel Machines Private Limited,"Babu Reddy Compound, 91/2/A, Begur Road, Hongasandra, Bengaluru",4.1,point_of_interest; establishment,ChIJcZ3BkMYUrjsR6H7jm-6O4y0,12.8927289,77.6265755,Grid 14
A1 Services,"Garvebhavi Palya, Bengaluru",3.8,car_wash; point_of_interest; establishment,ChIJX_MhSIoUrjsRU2C3QdTxzKE,12.8958102,77.6313591,Grid 14
kidsplaysystems,"28, 1st Main, 1st Cross, Near Band Box, Begur Road, Road, Begur, Bengaluru",5,point_of_interest; establishment,ChIJJwxcVcEUrjsRiBxiUy6dXt8,12.8977853,77.6282254,Grid 14
PAN CARD SOLUTIONS,"13/34, 9th Main Rd, Garvebhavi Palya, 9th Main Road, Garvebhavipalya, NS Palya, Mico Layout, Bengaluru",3.7,point_of_interest; establishment,ChIJVTs7QMcUrjsRkhCnPCyWYCg,12.8940642,77.6293915,Grid 14
Stalwart Engineering Company Private Limited,"7th Main 6th Cross, Muniyappa Layout, Hongasandra, Bengaluru",1,point_of_interest; establishment,ChIJ21-wRr8UrjsRNYWAmlAgVSw,12.8957607,77.6325827,Grid 14
Gurupriyam Innovation Labs Pvt. Ltd.,"Parijatha Apartments, 79, 107/1A, Begur Road, Mico Layout, Hongasandra, Bengaluru",5,museum; general_contractor; point_of_interest; establishment,ChIJO2V6McYUrjsRxKAMEMkRsWc,12.8907274,77.6269439,Grid 14
Vismaya Yoga Centre,"opp. ICICI Bank, 10th Cross Street, Begur Road, Hongasandra, Bengaluru",4.9,gym; point_of_interest; health; establishment,ChIJhfaajsYUrjsRDXjaa4R17V0,12.8929278,77.626043,Grid 14
